anonId,printer,count,classes
job-cb60c69388,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-830ce470cf,LG-640,3,OTHER_EVENT:New Job(Queue A)
job-830ce470cf,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-c36b7a4a9d,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-f2bd856616,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-c36b7a4a9d,LG-640,2,CANCELED
job-f2bd856616,LG-640,2,CANCELED;FAILED
job-c36b7a4a9d,LG-640,2,CANCELED
job-f2bd856616,LG-640,2,CANCELED;FAILED
job-195a408908,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-b43df7ac7f,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-cd0737fa04,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-125bcbdf9e,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-830ce470cf,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-c36b7a4a9d,LG-640,2,CANCELED
job-f2bd856616,LG-640,2,CANCELED
job-195a408908,LG-640,2,CANCELED
job-3c4741f6dc,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-195a408908,LG-640,2,CANCELED
job-195a408908,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-35e7223172,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-35e7223172,LG-640,2,CANCELED
job-195a408908,LG-640,2,CANCELED
job-2cdce54bbb,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-2271a5a753,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-5cbfa834e3,LG-640,8,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-5cbfa834e3,LG-640,8,CANCELED
job-5cbfa834e3,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-5cbfa834e3,LG-640,10,CANCELED
job-5cbfa834e3,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-5cbfa834e3,LG-640,10,CANCELED
job-2c85eb2d5c,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-2c85eb2d5c,LG-640,2,FAILED;LG640_CMYK_ONLY
job-872407a811,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-b3f3e8173f,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-872407a811,LG-640,2,CANCELED
